feature_id,feature_name,category,summary,purpose,owner_volume,supporting_volumes,implementation_status,release_stage,priority,initial_release_required,groundwork_required_now,platform_availability,edition_availability,dependencies,risk_level,safety_classification,UX_location,API_or_service_owner,acceptance_summary,design_evidence,implementation_evidence,test_evidence,release_evidence,blocker,tentative_start_window,tentative_completion_window,timeline_confidence,release_history,replacement_feature,deprecation_notes
FEAT-0017,Macroeconomic datasets,03 Market data,"Macro indicator datasets (rates, employment, inflation) for research/context.",Support research/news and Sage context beyond single-symbol data.,DS-002,,Idea,Stage 8 -- Strategy Ecosystem and Private Collaboration,Low,No,Decision Pending,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0018,On-chain data,03 Market data,Blockchain-derived data for crypto research.,Long-term ecosystem depth for crypto observation.,DS-002,,Idea,"Stage 9 -- Marketplace, Global, and Institutional Expansion",Low,No,Decision Pending,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0019,Broader asset identifier model,03 Market data,"Symbol/identifier schema general enough to cover equities, options, futures, forex, crypto.",Avoid an equities-only identifier model that blocks later asset classes.,DS-005,DS-004,Idea,Stage 1 -- Local Technical Foundation,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Medium,Deterministic-Authoritative,TBD,TBD,"A single identifier schema resolves equities, options, futures, forex, and crypto instruments without a breaking schema change when a new asset class is added.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,"Created in Product Expansion foundation pass (2026-07-25) Second independent-audit repair (2026-07-26): status corrected Designed -> Idea (design_evidence already correctly stated 'Not Yet Designed'; no approved identifier-schema design or code -- shared/models/ has no Symbol/Instrument/AssetIdentifier class -- exists in the repository, so Designed was self-contradictory).",,
FEAT-0020,Professional candlestick charts,04 Charts and drawings,Core OHLC/candlestick charting surface.,Primary price-visualization tool.,DS-002,DS-007;DS-022,Planned,Stage 2 -- Usable Paper-Trading Alpha,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,Desktop chart panel,TBD,A user can open a candlestick chart for any covered symbol/timeframe and see OHLC bars rendered correctly against source data.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0021,Indicator panes,04 Charts and drawings,Sub-panes for oscillators/volume beneath the main price pane.,Support multi-indicator analysis.,DS-002,,Planned,Stage 2 -- Usable Paper-Trading Alpha,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,A user can add/remove at least one oscillator/volume indicator pane beneath the main price pane without breaking the price pane's rendering.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0022,Saved chart layouts,04 Charts and drawings,Persist a chart's symbol/indicator/drawing configuration.,Avoid re-configuring charts every session.,DS-002,,Planned,Stage 3 -- Founder Workstation Beta,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A saved chart layout restores the exact symbol, indicator set, and drawing configuration it was saved with when reopened.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0023,Chart templates,04 Charts and drawings,Reusable named chart configurations applicable to any symbol.,Speed up repeated analysis workflows.,DS-002,,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0024,Multi-chart layouts,04 Charts and drawings,Multiple chart panes visible simultaneously.,Support cross-symbol comparison.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0025,Synchronized symbols across charts,04 Charts and drawings,Changing the symbol in one pane updates linked panes.,Speed up multi-chart workflows.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0024,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0026,Synchronized crosshairs,04 Charts and drawings,Crosshair position mirrored across linked charts.,Support precise multi-symbol timing comparison.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0024,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0027,Multi-monitor workspaces,04 Charts and drawings,Chart/panel layout spanning multiple monitors.,Support professional multi-monitor trading desks.,DS-002,DS-022,Idea,Stage 8 -- Strategy Ecosystem and Private Collaboration,Low,No,Groundwork Required Now,Windows,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0028,"Advanced chart types (Heikin-Ashi, Renko, etc.)",04 Charts and drawings,Non-OHLC chart rendering styles.,Match trader analysis preferences.,DS-002,DS-022,Future,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0029,Chart-layout synchronization (cloud),04 Charts and drawings,A saved layout follows the user across devices.,Consistent experience across desktop/web/mobile.,DS-017,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0022,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0030,Chart snapshots,04 Charts and drawings,Export a chart view as an image for journaling/sharing.,Preserve visual context for a trade decision.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0031,Chart-based order placement,04 Charts and drawings,Place/adjust an order by interacting directly with the chart.,"Faster, visual order entry.",DS-022,DS-016,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Medium,Deterministic-Authoritative,TBD,TBD,An order ticket pre-filled from a chart click matches the clicked price/time and still passes through the same deterministic validation as a manually-typed order.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0032,Draggable stops and targets,04 Charts and drawings,Drag a stop/target line on the chart to adjust an open position's exit plan.,Faster visual exit-plan adjustment.,DS-022,DS-020;DS-016,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0031,Medium,Deterministic-Authoritative,TBD,TBD,A dragged stop/target still passes through deterministic validation before taking effect.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0033,Trend lines,04 Charts and drawings,Basic trend-line drawing tool.,Core technical-analysis annotation.,DS-002,DS-022,Planned,Stage 3 -- Founder Workstation Beta,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,A trend line drawn between two points remains anchored to those price/time coordinates across chart pans/zooms and persists across a session reload.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0034,Horizontal and vertical levels,04 Charts and drawings,Fixed price/time level lines.,Mark support/resistance/time events.,DS-002,DS-022,Planned,Stage 3 -- Founder Workstation Beta,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,A horizontal/vertical level line remains anchored to its configured price/time value across chart pans/zooms and persists across a session reload.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0035,Channels,04 Charts and drawings,Parallel trend-line channel drawing.,Visualize price ranges.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0036,Fibonacci tools,04 Charts and drawings,Fibonacci retracement/extension drawing tools.,Common technical-analysis tool.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0037,Support and resistance (drawing),04 Charts and drawings,Manual/assisted support-resistance line drawing.,Core technical-analysis annotation.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0038,Anchored VWAP,04 Charts and drawings,VWAP anchored to a user-chosen starting point.,Popular intraday/swing analysis tool.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0039,Risk/reward tools (drawing),04 Charts and drawings,Visual risk/reward ratio drawing overlay tied to entry/stop/target.,Help a trader see the risk/reward of a plan before submitting it.,DS-022,DS-020,Idea,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Informational,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0040,Long-position planner,04 Charts and drawings,Drawing overlay for planning a long entry/stop/target.,Visual trade planning.,DS-022,DS-020,Idea,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Informational,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0041,Short-position planner,04 Charts and drawings,Drawing overlay for planning a short entry/stop/target.,Visual trade planning.,DS-022,DS-020,Idea,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Informational,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0042,Notes and callouts,04 Charts and drawings,Free-text annotation on a chart.,Preserve reasoning directly on the chart.,DS-022,,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0043,Drawing templates,04 Charts and drawings,Reusable drawing style/configuration presets.,Speed up repeated annotation workflows.,DS-022,,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0044,Drawing locking and hiding,04 Charts and drawings,Lock a drawing against accidental edits; hide without deleting.,Protect analysis work.,DS-022,,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0045,Drawing synchronization (cloud),04 Charts and drawings,Drawings persist and follow the user across devices.,Consistent cross-device analysis.,DS-017,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0047,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0046,Drawing-based alerts,04 Charts and drawings,Alert when price crosses a user-drawn line/level.,Turn manual analysis into automated monitoring.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0047,Drawing persistence architecture,04 Charts and drawings,Backend schema/storage for saved drawings.,Groundwork so drawing tools can be added later without a storage-model rewrite.,DS-005,DS-022,Idea,Stage 1 -- Local Technical Foundation,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Medium,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0048,Multiple watchlists,05 Watchlists,A user can maintain more than one named watchlist.,Organize symbols by strategy/theme.,DS-002,DS-022,Planned,Stage 2 -- Usable Paper-Trading Alpha,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A user can create, rename, delete, and switch between at least two independent named watchlists without symbol cross-contamination.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0049,Grouped watchlists,05 Watchlists,Folder/group organization for many watchlists.,Manage a large number of watchlists.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0050,Color labels,05 Watchlists,Color-tag symbols within a watchlist.,Quick visual categorization.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0051,Smart watchlists,05 Watchlists,Rule-based dynamic watchlist membership (e.g. auto-add on a scan condition).,Reduce manual watchlist maintenance.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0048,Low,N/A,TBD,TBD,"A watchlist configured with a rule automatically adds/removes matching symbols within one scan cycle, and a user can see which symbols were rule-added versus manually added.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0052,Sage-generated watchlists,05 Watchlists,Sage proposes a watchlist based on research/context.,Surface Sage's research value proactively.,DS-018,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0123;FEAT-0051,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0053,Catalyst badges,05 Watchlists,"Visual badge on a watchlist row indicating a pending catalyst (earnings, news).",Surface relevant context at a glance.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
