feature_id,feature_name,Windows,macOS,Linux,Web,iOS,Android,notes
FEAT-0044,Drawing locking and hiding,Yes,No,No,Yes,Yes,Yes,
FEAT-0045,Drawing synchronization (cloud),Yes,No,No,Yes,Yes,Yes,
FEAT-0046,Drawing-based alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0047,Drawing persistence architecture,Yes,No,No,Yes,Yes,Yes,
FEAT-0048,Multiple watchlists,Yes,No,No,Yes,Yes,Yes,
FEAT-0049,Grouped watchlists,Yes,No,No,Yes,Yes,Yes,
FEAT-0050,Color labels,Yes,No,No,Yes,Yes,Yes,
FEAT-0051,Smart watchlists,Yes,No,No,Yes,Yes,Yes,
FEAT-0052,Sage-generated watchlists,Yes,No,No,Yes,Yes,Yes,
FEAT-0053,Catalyst badges,Yes,No,No,Yes,Yes,Yes,
FEAT-0054,Earnings badges,Yes,No,No,Yes,Yes,Yes,
FEAT-0055,Broker synchronization (watchlist),Yes,No,No,Yes,Yes,Yes,
FEAT-0056,Watchlist import and export,Yes,No,No,Yes,Yes,Yes,
FEAT-0057,Watchlist-wide alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0058,Stock screener,Yes,No,No,Yes,Yes,Yes,
FEAT-0059,ETF screener,Yes,No,No,Yes,Yes,Yes,
FEAT-0060,Options screener,Yes,No,No,Yes,Yes,Yes,
FEAT-0061,Technical filters,Yes,No,No,Yes,Yes,Yes,
FEAT-0062,Fundamental filters,Yes,No,No,Yes,Yes,Yes,
FEAT-0063,Custom columns,Yes,No,No,Yes,Yes,Yes,
FEAT-0064,Saved screener templates,Yes,No,No,Yes,Yes,Yes,
FEAT-0065,Scan scheduling,Yes,No,No,Yes,Yes,Yes,
FEAT-0066,Scan history,Yes,No,No,Yes,Yes,Yes,
FEAT-0067,Strategy-based scans,Yes,No,No,Yes,Yes,Yes,
FEAT-0068,Screener export,Yes,No,No,Yes,Yes,Yes,
FEAT-0069,Future asset-class screening (forex/futures/crypto/bond/global equity),Yes,No,No,Yes,Yes,Yes,
FEAT-0070,Price alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0071,Indicator alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0072,Strategy alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0073,Drawing alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0074,Watchlist alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0075,Portfolio alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0076,Risk alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0077,Broker-state alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0078,Data-quality alerts,Yes,No,No,Yes,Yes,Yes,
FEAT-0079,Multi-condition alert builder,Yes,No,No,Yes,Yes,Yes,
FEAT-0080,Alert suppression,Yes,No,No,Yes,Yes,Yes,
FEAT-0081,Alert cooldowns,Yes,No,No,Yes,Yes,Yes,
FEAT-0082,Alert escalation,Yes,No,No,Yes,Yes,Yes,
FEAT-0083,Alert acknowledgement,Yes,No,No,Yes,Yes,Yes,
FEAT-0084,Alert history,Yes,No,No,Yes,Yes,Yes,
FEAT-0085,"Multi-channel alert delivery (mobile, desktop, email, notification)",Yes,No,No,Yes,Yes,Yes,
FEAT-0086,Discord notification delivery (notification-only),Yes,No,No,Yes,Yes,Yes,
FEAT-0087,Signed generic webhooks (future),Yes,No,No,Yes,Yes,Yes,
FEAT-0088,Symbol news feed,Yes,No,No,Yes,Yes,Yes,
FEAT-0089,Portfolio news feed,Yes,No,No,Yes,Yes,Yes,
FEAT-0090,Breaking-news mode,Yes,No,No,Yes,Yes,Yes,
FEAT-0091,Duplicate-story clustering,Yes,No,No,Yes,Yes,Yes,
FEAT-0092,Source reliability scoring,Yes,No,No,Yes,Yes,Yes,
FEAT-0093,News sentiment analysis,Yes,No,No,Yes,Yes,Yes,
FEAT-0094,Catalyst extraction,Yes,No,No,Yes,Yes,Yes,
FEAT-0095,Rumor vs. confirmed labeling,Yes,No,No,Yes,Yes,Yes,
FEAT-0096,Chart news markers,Yes,No,No,Yes,Yes,Yes,
FEAT-0097,Economic calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0098,Earnings calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0099,Dividend calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0100,Split calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0101,IPO calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0102,Options expiration calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0103,Federal Reserve events calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0104,Treasury events calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0105,Market holidays calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0106,Early closes calendar,Yes,No,No,Yes,Yes,Yes,
FEAT-0107,Trading halts feed,Yes,No,No,Yes,Yes,Yes,
FEAT-0108,Strategy blackout periods,Yes,No,No,Yes,Yes,Yes,
FEAT-0109,S&P 500 heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0110,Sector heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0111,Industry heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0112,Portfolio heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0113,Risk-concentration heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0114,Correlation heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0115,Implied-volatility heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0116,Strategy-opportunity heatmap,Yes,No,No,Yes,Yes,Yes,
FEAT-0117,Market breadth,Yes,No,No,Yes,Yes,Yes,
FEAT-0118,Advance/decline data,Yes,No,No,Yes,Yes,Yes,
FEAT-0119,New highs and lows,Yes,No,No,Yes,Yes,Yes,
FEAT-0120,Sector rotation view,Yes,No,No,Yes,Yes,Yes,
FEAT-0121,Market-regime dashboard,Yes,No,No,Yes,Yes,Yes,
FEAT-0122,Founder Local Sage,Yes,Yes,Yes,No,No,No,"Founder desktop/workstation runtime only; mobile/web may be an authorized remote control/status surface only, never a Local Sage runtime."
FEAT-0123,Customer Cloud Sage,Yes,No,No,Yes,Yes,Yes,
FEAT-0124,Sage bounded-agency behavioral contract,Yes,No,No,Yes,Yes,Yes,
FEAT-0125,Sage model/prompt routing and versioning,Yes,No,No,Yes,Yes,Yes,
FEAT-0126,"""Why not this trade?"" explanation",Yes,No,No,Yes,Yes,Yes,
FEAT-0127,Sage usage quotas,Yes,No,No,Yes,Yes,Yes,
FEAT-0128,Sage research workflow (DS-RSH-006),Yes,No,No,Yes,Yes,Yes,
FEAT-0129,Sage journal coaching (DS-JRN-005),Yes,No,No,Yes,Yes,Yes,
FEAT-0130,Sage failure-mode honesty,Yes,No,No,Yes,Yes,Yes,
FEAT-0131,Restricted DarkSage strategy language,Yes,No,No,Yes,Yes,Yes,
FEAT-0132,Visual strategy builder,Yes,No,No,Yes,Yes,Yes,
FEAT-0133,Indicator builder,Yes,No,No,Yes,Yes,Yes,
FEAT-0134,Alert builder (strategy-linked),Yes,No,No,Yes,Yes,Yes,
FEAT-0135,Founder-only Python research extensions,Yes,Yes,Yes,No,No,No,Founder-private workstation/development environment only.
FEAT-0136,Versioned strategies,Yes,No,No,Yes,Yes,Yes,
FEAT-0137,Versioned indicators,Yes,No,No,Yes,Yes,Yes,
FEAT-0138,Strategy/indicator safety scanning,Yes,No,No,Yes,Yes,Yes,
FEAT-0139,No arbitrary customer code in deterministic execution,Yes,No,No,Yes,Yes,Yes,
FEAT-0140,No script bypass of risk validation,Yes,No,No,Yes,Yes,Yes,
FEAT-0141,Backtesting engine (core),Yes,No,No,Yes,Yes,Yes,
FEAT-0142,Backtest metrics,Yes,No,No,Yes,Yes,Yes,
FEAT-0143,Backtest comparison,Yes,No,No,Yes,Yes,Yes,
FEAT-0144,Backtest robustness analysis,Yes,No,No,Yes,Yes,Yes,
FEAT-0145,Historical market replay,Yes,No,No,Yes,Yes,Yes,
FEAT-0146,Paper trading (basic backtesting integration),Yes,No,No,Yes,Yes,Yes,
FEAT-0147,Trade proposal generation,Yes,No,No,Yes,Yes,Yes,
FEAT-0148,Canonical Trade Intelligence Package,Yes,No,No,Yes,Yes,Yes,
FEAT-0149,Trade proposal history,Yes,No,No,Yes,Yes,Yes,
FEAT-0150,Deterministic Risk Engine,Yes,No,No,Yes,Yes,Yes,
FEAT-0151,Risk-based position sizing,Yes,No,No,Yes,Yes,Yes,
FEAT-0152,Portfolio exposure checks,Yes,No,No,Yes,Yes,Yes,
FEAT-0153,Account-specific risk configuration,Yes,No,No,Yes,Yes,Yes,
FEAT-0154,Fixed-price stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0155,Percentage stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0156,Fixed-price targets,Yes,No,No,Yes,Yes,Yes,
FEAT-0157,Percentage targets,Yes,No,No,Yes,Yes,Yes,
FEAT-0158,Risk/reward targets,Yes,No,No,Yes,Yes,Yes,
FEAT-0159,ATR stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0160,Volatility stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0161,Support/resistance stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0162,Trailing stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0163,Break-even stops,Yes,No,No,Yes,Yes,Yes,
FEAT-0164,Time-based exits,Yes,No,No,Yes,Yes,Yes,
FEAT-0165,Strategy-specific exits,Yes,No,No,Yes,Yes,Yes,
FEAT-0166,Multiple targets,Yes,No,No,Yes,Yes,Yes,
FEAT-0167,Partial exits,Yes,No,No,Yes,Yes,Yes,
FEAT-0168,Scaling out,Yes,No,No,Yes,Yes,Yes,
FEAT-0169,Moving stops after Target 1,Yes,No,No,Yes,Yes,Yes,
FEAT-0170,Broker-native bracket orders,Yes,No,No,Yes,Yes,Yes,
FEAT-0171,OCO orders,Yes,No,No,Yes,Yes,Yes,
FEAT-0172,DarkSage-managed protection,Yes,No,No,Yes,Yes,Yes,
FEAT-0173,Maximum planned loss,Yes,No,No,Yes,Yes,Yes,
FEAT-0174,Position sizing based on stop distance,Yes,No,No,Yes,Yes,Yes,
FEAT-0175,Long-position exit validation,Yes,No,No,Yes,Yes,Yes,
FEAT-0176,Short-position exit validation,Yes,No,No,Yes,Yes,Yes,
FEAT-0177,Options-specific exits,Yes,No,No,Yes,Yes,Yes,
FEAT-0178,Gap handling,Yes,No,No,Yes,Yes,Yes,
FEAT-0179,Slippage handling,Yes,No,No,Yes,Yes,Yes,
FEAT-0180,Partial-fill handling,Yes,No,No,Yes,Yes,Yes,
FEAT-0181,Cancel/replace behavior,Yes,No,No,Yes,Yes,Yes,
FEAT-0182,Mobile stop and target editing,No,No,No,No,Yes,Yes,
FEAT-0183,Emergency close,Yes,No,No,Yes,Yes,Yes,
FEAT-0184,Exits-only mode,Yes,No,No,Yes,Yes,Yes,
FEAT-0185,Global kill switch,Yes,No,No,Yes,Yes,Yes,
FEAT-0186,Account-level kill switch,Yes,No,No,Yes,Yes,Yes,
FEAT-0187,Broker-level kill switch,Yes,No,No,Yes,Yes,Yes,
FEAT-0188,Strategy-level kill switch,Yes,No,No,Yes,Yes,Yes,
FEAT-0189,Rejection explanations,Yes,No,No,Yes,Yes,Yes,
FEAT-0190,Approved deterministic exit plan requirement,Yes,No,No,Yes,Yes,Yes,
FEAT-0191,Broker/execution integration (core),Yes,No,No,Yes,Yes,Yes,
FEAT-0192,Order lifecycle reconciliation,Yes,No,No,Yes,Yes,Yes,
FEAT-0193,Level II,Yes,No,No,Yes,Yes,Yes,
FEAT-0194,Depth of Market,Yes,No,No,Yes,Yes,Yes,
FEAT-0195,Time and sales,Yes,No,No,Yes,Yes,Yes,
FEAT-0196,Order ladder,Yes,No,No,Yes,Yes,Yes,
FEAT-0197,Hotkeys,Yes,No,No,Yes,Yes,Yes,
FEAT-0198,Hotkey safety,Yes,No,No,Yes,Yes,Yes,
FEAT-0199,Order templates,Yes,No,No,Yes,Yes,Yes,
FEAT-0200,Partial-fill visualization,Yes,No,No,Yes,Yes,Yes,
FEAT-0201,Bracket visualization,Yes,No,No,Yes,Yes,Yes,
FEAT-0202,Five-mode automation reconciliation,Yes,No,No,Yes,Yes,Yes,
FEAT-0203,Strategy-driven automated entries,Yes,No,No,Yes,Yes,Yes,
FEAT-0204,Automation blackout controls,Yes,No,No,Yes,Yes,Yes,
FEAT-0205,Portfolio tracking (core),Yes,No,No,Yes,Yes,Yes,
FEAT-0206,Multi-account trading,Yes,No,No,Yes,Yes,Yes,
FEAT-0207,Multi-user workspaces,Yes,No,No,Yes,Yes,Yes,
FEAT-0208,Delegated approvals,Yes,No,No,Yes,Yes,Yes,
FEAT-0209,Structured trade journal (DS-JRN-001),Yes,No,No,Yes,Yes,Yes,
FEAT-0210,Daily/weekly review (DS-JRN-003/004),Yes,No,No,Yes,Yes,Yes,
FEAT-0211,Journal retention and deletion (DS-JRN-007),Yes,No,No,Yes,Yes,Yes,
FEAT-0212,Safe progression (DS-JRN-006),Yes,No,No,Yes,Yes,Yes,
FEAT-0213,Selected options intelligence (product),Yes,No,No,Yes,Yes,Yes,
FEAT-0214,Full options-chain analytics (future),Yes,No,No,Yes,Yes,Yes,
FEAT-0215,Tax reporting,Yes,No,No,Yes,Yes,Yes,
FEAT-0216,Budgeting tools,Yes,No,No,Yes,Yes,Yes,
FEAT-0217,Private collaboration,Yes,No,No,Yes,Yes,Yes,
FEAT-0218,Shared research,Yes,No,No,Yes,Yes,Yes,
FEAT-0219,Shared watchlists (private),Yes,No,No,Yes,Yes,Yes,
FEAT-0220,Private teams,Yes,No,No,Yes,Yes,Yes,
FEAT-0221,Paper-trading competitions,Yes,No,No,Yes,Yes,Yes,
FEAT-0222,Creator profiles,Yes,No,No,Yes,Yes,Yes,
FEAT-0223,Strategy distribution,Yes,No,No,Yes,Yes,Yes,
FEAT-0224,Verified performance,Yes,No,No,Yes,Yes,Yes,
FEAT-0225,Public strategy marketplace (long-term backlog),Yes,No,No,Yes,Yes,Yes,
FEAT-0226,Anonymous public copy trading (explicitly rejected at launch),Yes,No,No,Yes,Yes,Yes,
FEAT-0227,Public paid signal marketplace (explicitly rejected at launch),Yes,No,No,Yes,Yes,Yes,
FEAT-0228,iPhone companion app,No,No,No,No,Yes,No,
FEAT-0229,Android companion app,No,No,No,No,No,Yes,
FEAT-0230,Mobile kill switches,No,No,No,No,Yes,Yes,
FEAT-0231,Web account/dashboard,No,No,No,Yes,No,No,
FEAT-0232,Public marketing website,No,No,No,Yes,No,No,
FEAT-0233,Windows desktop packaging,Yes,No,No,No,No,No,
FEAT-0234,macOS packaging (backlog),No,Yes,No,No,No,No,
FEAT-0235,Linux packaging compatibility,No,No,Yes,No,No,No,
FEAT-0236,Release channel model,Yes,No,No,Yes,Yes,Yes,
FEAT-0237,Subscription billing,Yes,No,No,Yes,Yes,Yes,
FEAT-0238,Trials,Yes,No,No,Yes,Yes,Yes,
FEAT-0239,Grace mode,Yes,No,No,Yes,Yes,Yes,
FEAT-0240,Cancellation and data export,Yes,No,No,Yes,Yes,Yes,
FEAT-0241,Entitlement quota engine,Yes,No,No,Yes,Yes,Yes,
FEAT-0242,Existing security architecture (DS-008 baseline),Yes,No,No,Yes,Yes,Yes,
FEAT-0243,Multi-factor authentication (see Accounts category),Yes,No,No,Yes,Yes,Yes,
FEAT-0244,Device trust (see Accounts category),Yes,No,No,Yes,Yes,Yes,
FEAT-0245,Secret management for distributed clients,Yes,No,No,Yes,Yes,Yes,
FEAT-0246,Founder-asset extraction resistance,N/A,N/A,N/A,N/A,N/A,N/A,"Security/build/deployment capability, not a client-platform feature; N/A across the client platform vocabulary by design."
FEAT-0247,Incident and recovery center,Yes,No,No,Yes,Yes,Yes,
FEAT-0248,Backup and disaster recovery operations,Yes,No,No,Yes,Yes,Yes,
FEAT-0249,"Observability (logging, metrics, tracing)",Yes,No,No,Yes,Yes,Yes,
FEAT-0250,Service-level objectives,Yes,No,No,Yes,Yes,Yes,
FEAT-0251,Cloud and model cost controls,Yes,No,No,Yes,Yes,Yes,
FEAT-0252,Design system extension,Yes,No,No,Yes,Yes,Yes,
FEAT-0253,Accessibility (WCAG 2.2 AA) extension,Yes,No,No,Yes,Yes,Yes,
FEAT-0254,Command palette,Yes,No,No,Yes,Yes,Yes,
FEAT-0255,Progressive disclosure patterns,Yes,No,No,Yes,Yes,Yes,
FEAT-0256,Morning Brief,Yes,No,No,Yes,Yes,Yes,
FEAT-0257,Needs My Attention,Yes,No,No,Yes,Yes,Yes,
FEAT-0258,Customer account administration,Yes,No,No,Yes,Yes,Yes,
FEAT-0259,Diagnostics and self-check tooling,Yes,No,No,Yes,Yes,Yes,
FEAT-0260,Customer support intake,Yes,No,No,Yes,Yes,Yes,
FEAT-0261,Creator strategy versioning,Yes,No,No,Yes,Yes,Yes,
FEAT-0262,Marketplace ownership and versioning model,Yes,No,No,Yes,Yes,Yes,
FEAT-0263,White-label SDK (explicitly excluded from initial release),Yes,No,No,Yes,Yes,Yes,
FEAT-0264,Regional commercial restrictions,Yes,No,No,Yes,Yes,Yes,
FEAT-0265,Institutional routing (explicitly excluded from initial release),Yes,No,No,Yes,Yes,Yes,
FEAT-0266,Public strategy/signal marketplace (long-term backlog),Yes,No,No,Yes,Yes,Yes,
FEAT-0267,Global/institutional expansion features,Yes,No,No,Yes,Yes,Yes,
FEAT-0268,Founder Sage Developer Mode,Yes,Yes,Yes,No,No,No,Founder desktop/workstation runtime only; never a web/iOS/Android runtime.
