feature_id,feature_name,Founder,Customer,notes
FEAT-0088,Symbol news feed,Yes,Yes,
FEAT-0089,Portfolio news feed,Yes,Yes,
FEAT-0090,Breaking-news mode,Yes,Yes,
FEAT-0091,Duplicate-story clustering,Yes,Yes,
FEAT-0092,Source reliability scoring,Yes,Yes,
FEAT-0093,News sentiment analysis,Yes,Yes,
FEAT-0094,Catalyst extraction,Yes,Yes,
FEAT-0095,Rumor vs. confirmed labeling,Yes,Yes,
FEAT-0096,Chart news markers,Yes,Yes,
FEAT-0097,Economic calendar,Yes,Yes,
FEAT-0098,Earnings calendar,Yes,Yes,
FEAT-0099,Dividend calendar,Yes,Yes,
FEAT-0100,Split calendar,Yes,Yes,
FEAT-0101,IPO calendar,Yes,Yes,
FEAT-0102,Options expiration calendar,Yes,Yes,
FEAT-0103,Federal Reserve events calendar,Yes,Yes,
FEAT-0104,Treasury events calendar,Yes,Yes,
FEAT-0105,Market holidays calendar,Yes,Yes,
FEAT-0106,Early closes calendar,Yes,Yes,
FEAT-0107,Trading halts feed,Yes,Yes,
FEAT-0108,Strategy blackout periods,Yes,Yes,
FEAT-0109,S&P 500 heatmap,Yes,Yes,
FEAT-0110,Sector heatmap,Yes,Yes,
FEAT-0111,Industry heatmap,Yes,Yes,
FEAT-0112,Portfolio heatmap,Yes,Yes,
FEAT-0113,Risk-concentration heatmap,Yes,Yes,
FEAT-0114,Correlation heatmap,Yes,Yes,
FEAT-0115,Implied-volatility heatmap,Yes,Yes,
FEAT-0116,Strategy-opportunity heatmap,Yes,Yes,
FEAT-0117,Market breadth,Yes,Yes,
FEAT-0118,Advance/decline data,Yes,Yes,
FEAT-0119,New highs and lows,Yes,Yes,
FEAT-0120,Sector rotation view,Yes,Yes,
FEAT-0121,Market-regime dashboard,Yes,Yes,
FEAT-0122,Founder Local Sage,Yes,No,
FEAT-0123,Customer Cloud Sage,No,Yes,
FEAT-0124,Sage bounded-agency behavioral contract,Yes,Yes,
FEAT-0125,Sage model/prompt routing and versioning,Yes,Yes,
FEAT-0126,"""Why not this trade?"" explanation",Yes,Yes,
FEAT-0127,Sage usage quotas,Yes,Yes,
FEAT-0128,Sage research workflow (DS-RSH-006),Yes,Yes,
FEAT-0129,Sage journal coaching (DS-JRN-005),Yes,Yes,
FEAT-0130,Sage failure-mode honesty,Yes,Yes,
FEAT-0131,Restricted DarkSage strategy language,Yes,Yes,
FEAT-0132,Visual strategy builder,Yes,Yes,
FEAT-0133,Indicator builder,Yes,Yes,
FEAT-0134,Alert builder (strategy-linked),Yes,Yes,
FEAT-0135,Founder-only Python research extensions,Yes,No,
FEAT-0136,Versioned strategies,Yes,Yes,
FEAT-0137,Versioned indicators,Yes,Yes,
FEAT-0138,Strategy/indicator safety scanning,Yes,Yes,
FEAT-0139,No arbitrary customer code in deterministic execution,Yes,Yes,
FEAT-0140,No script bypass of risk validation,Yes,Yes,
FEAT-0141,Backtesting engine (core),Yes,Yes,
FEAT-0142,Backtest metrics,Yes,Yes,
FEAT-0143,Backtest comparison,Yes,Yes,
FEAT-0144,Backtest robustness analysis,Yes,Yes,
FEAT-0145,Historical market replay,Yes,Yes,
FEAT-0146,Paper trading (basic backtesting integration),Yes,Yes,
FEAT-0147,Trade proposal generation,Yes,Yes,
FEAT-0148,Canonical Trade Intelligence Package,Yes,Yes,
FEAT-0149,Trade proposal history,Yes,Yes,
FEAT-0150,Deterministic Risk Engine,Yes,Yes,
FEAT-0151,Risk-based position sizing,Yes,Yes,
FEAT-0152,Portfolio exposure checks,Yes,Yes,
FEAT-0153,Account-specific risk configuration,Yes,Yes,
FEAT-0154,Fixed-price stops,Yes,Yes,
FEAT-0155,Percentage stops,Yes,Yes,
FEAT-0156,Fixed-price targets,Yes,Yes,
FEAT-0157,Percentage targets,Yes,Yes,
FEAT-0158,Risk/reward targets,Yes,Yes,
FEAT-0159,ATR stops,Yes,Yes,
FEAT-0160,Volatility stops,Yes,Yes,
FEAT-0161,Support/resistance stops,Yes,Yes,
FEAT-0162,Trailing stops,Yes,Yes,
FEAT-0163,Break-even stops,Yes,Yes,
FEAT-0164,Time-based exits,Yes,Yes,
FEAT-0165,Strategy-specific exits,Yes,Yes,
FEAT-0166,Multiple targets,Yes,Yes,
FEAT-0167,Partial exits,Yes,Yes,
FEAT-0168,Scaling out,Yes,Yes,
FEAT-0169,Moving stops after Target 1,Yes,Yes,
FEAT-0170,Broker-native bracket orders,Yes,Yes,
FEAT-0171,OCO orders,Yes,Yes,
FEAT-0172,DarkSage-managed protection,Yes,Yes,
FEAT-0173,Maximum planned loss,Yes,Yes,
FEAT-0174,Position sizing based on stop distance,Yes,Yes,
FEAT-0175,Long-position exit validation,Yes,Yes,
FEAT-0176,Short-position exit validation,Yes,Yes,
FEAT-0177,Options-specific exits,Yes,Yes,
FEAT-0178,Gap handling,Yes,Yes,
FEAT-0179,Slippage handling,Yes,Yes,
FEAT-0180,Partial-fill handling,Yes,Yes,
FEAT-0181,Cancel/replace behavior,Yes,Yes,
FEAT-0182,Mobile stop and target editing,Yes,Yes,
FEAT-0183,Emergency close,Yes,Yes,
FEAT-0184,Exits-only mode,Yes,Yes,
FEAT-0185,Global kill switch,Yes,Yes,
FEAT-0186,Account-level kill switch,Yes,Yes,
FEAT-0187,Broker-level kill switch,Yes,Yes,
FEAT-0188,Strategy-level kill switch,Yes,Yes,
FEAT-0189,Rejection explanations,Yes,Yes,
FEAT-0190,Approved deterministic exit plan requirement,Yes,Yes,
FEAT-0191,Broker/execution integration (core),Yes,Yes,
FEAT-0192,Order lifecycle reconciliation,Yes,Yes,
FEAT-0193,Level II,Yes,Yes,
FEAT-0194,Depth of Market,Yes,Yes,
FEAT-0195,Time and sales,Yes,Yes,
FEAT-0196,Order ladder,Yes,Yes,
FEAT-0197,Hotkeys,Yes,Yes,
FEAT-0198,Hotkey safety,Yes,Yes,
FEAT-0199,Order templates,Yes,Yes,
FEAT-0200,Partial-fill visualization,Yes,Yes,
FEAT-0201,Bracket visualization,Yes,Yes,
FEAT-0202,Five-mode automation reconciliation,Yes,Yes,
FEAT-0203,Strategy-driven automated entries,Yes,Yes,
FEAT-0204,Automation blackout controls,Yes,Yes,
FEAT-0205,Portfolio tracking (core),Yes,Yes,
FEAT-0206,Multi-account trading,Yes,Yes,
FEAT-0207,Multi-user workspaces,Yes,Yes,
FEAT-0208,Delegated approvals,Yes,Yes,
FEAT-0209,Structured trade journal (DS-JRN-001),Yes,Yes,
FEAT-0210,Daily/weekly review (DS-JRN-003/004),Yes,Yes,
FEAT-0211,Journal retention and deletion (DS-JRN-007),Yes,Yes,
FEAT-0212,Safe progression (DS-JRN-006),Yes,Yes,
FEAT-0213,Selected options intelligence (product),Yes,Yes,
FEAT-0214,Full options-chain analytics (future),Yes,Yes,
FEAT-0215,Tax reporting,Yes,Yes,
FEAT-0216,Budgeting tools,Yes,Yes,
FEAT-0217,Private collaboration,Yes,Yes,
FEAT-0218,Shared research,Yes,Yes,
FEAT-0219,Shared watchlists (private),Yes,Yes,
FEAT-0220,Private teams,Yes,Yes,
FEAT-0221,Paper-trading competitions,Yes,Yes,
FEAT-0222,Creator profiles,Yes,Yes,
FEAT-0223,Strategy distribution,Yes,Yes,
FEAT-0224,Verified performance,Yes,Yes,
FEAT-0225,Public strategy marketplace (long-term backlog),Yes,Yes,
FEAT-0226,Anonymous public copy trading (explicitly rejected at launch),Yes,Yes,
FEAT-0227,Public paid signal marketplace (explicitly rejected at launch),Yes,Yes,
FEAT-0228,iPhone companion app,Yes,Yes,
FEAT-0229,Android companion app,Yes,Yes,
FEAT-0230,Mobile kill switches,Yes,Yes,
FEAT-0231,Web account/dashboard,Yes,Yes,
FEAT-0232,Public marketing website,N/A,N/A,Not an edition-bound feature (governance/documentation).
FEAT-0233,Windows desktop packaging,Yes,Yes,
FEAT-0234,macOS packaging (backlog),Yes,Yes,
FEAT-0235,Linux packaging compatibility,Yes,Yes,
FEAT-0236,Release channel model,Yes,Yes,
FEAT-0237,Subscription billing,No,Yes,
FEAT-0238,Trials,No,Yes,
FEAT-0239,Grace mode,No,Yes,
FEAT-0240,Cancellation and data export,No,Yes,
FEAT-0241,Entitlement quota engine,No,Yes,
FEAT-0242,Existing security architecture (DS-008 baseline),Yes,Yes,
FEAT-0243,Multi-factor authentication (see Accounts category),Yes,Yes,
FEAT-0244,Device trust (see Accounts category),Yes,Yes,
FEAT-0245,Secret management for distributed clients,Yes,Yes,
FEAT-0246,Founder-asset extraction resistance,Yes,No,
FEAT-0247,Incident and recovery center,Yes,Yes,
FEAT-0248,Backup and disaster recovery operations,Yes,Yes,
FEAT-0249,"Observability (logging, metrics, tracing)",Yes,Yes,
FEAT-0250,Service-level objectives,Yes,Yes,
FEAT-0251,Cloud and model cost controls,Yes,Yes,
FEAT-0252,Design system extension,Yes,Yes,
FEAT-0253,Accessibility (WCAG 2.2 AA) extension,Yes,Yes,
FEAT-0254,Command palette,Yes,Yes,
FEAT-0255,Progressive disclosure patterns,Yes,Yes,
FEAT-0256,Morning Brief,Yes,Yes,
FEAT-0257,Needs My Attention,Yes,Yes,
FEAT-0258,Customer account administration,No,Yes,
FEAT-0259,Diagnostics and self-check tooling,Yes,Yes,
FEAT-0260,Customer support intake,No,Yes,
FEAT-0261,Creator strategy versioning,Yes,Yes,
FEAT-0262,Marketplace ownership and versioning model,Yes,Yes,
FEAT-0263,White-label SDK (explicitly excluded from initial release),Yes,Yes,
FEAT-0264,Regional commercial restrictions,No,Yes,
FEAT-0265,Institutional routing (explicitly excluded from initial release),Yes,Yes,
FEAT-0266,Public strategy/signal marketplace (long-term backlog),Yes,Yes,
FEAT-0267,Global/institutional expansion features,Yes,Yes,
FEAT-0268,Founder Sage Developer Mode,Yes,No,Founder-only; excluded from all customer builds; never customer-enabled.
