volume_id,title,publication_state,markdown_path,docx_path,pdf_path,metadata_verified,traceability_complete,controlled_ids_valid,acceptance_criteria_complete,independent_review_complete,independent_review_evidence,checksum_verified,release_manifest_entry,approved_by,approved_date,blocker,notes
DS-011,Development Roadmap,Released,docs/codex/Volume-11-Roadmap/DS-011-Development-Roadmap.md,docs/publication/releases/DS-011.docx,docs/publication/releases/DS-011.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-012,Architecture Decision Records,Released,docs/codex/Volume-12-ADRs/DS-012-Architecture-Decision-Records.md,docs/publication/releases/DS-012.docx,docs/publication/releases/DS-012.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-013,Feature Backlog,Released,docs/codex/Volume-13-Backlog/DS-013-Feature-Backlog.md,docs/publication/releases/DS-013.docx,docs/publication/releases/DS-013.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-014,Idea Parking Lot,Released,docs/codex/Volume-14-Ideas/DS-014-Idea-Parking-Lot.md,docs/publication/releases/DS-014.docx,docs/publication/releases/DS-014.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-015,Product Editions and Repository Architecture,Skeleton,docs/codex/Volume-15-Editions/DS-015-Product-Editions-and-Repository-Architecture.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-016,Platform Strategy and Distribution,Skeleton,docs/codex/Volume-16-Platforms/DS-016-Platform-Strategy-and-Distribution.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-017,Local-First and Cloud Migration Architecture,Skeleton,docs/codex/Volume-17-LocalFirst/DS-017-Local-First-and-Cloud-Migration-Architecture.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-018,Sage Deployment and Intelligence Architecture,Skeleton,docs/codex/Volume-18-SageDeployment/DS-018-Sage-Deployment-and-Intelligence-Architecture.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-019,"Commercialization, Subscriptions and Entitlements",Skeleton,docs/codex/Volume-19-Commercialization/DS-019-Commercialization-Subscriptions-and-Entitlements.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-020,Multi-User Multi-Account Trading Controls and Delegated Access,Skeleton,docs/codex/Volume-20-MultiUser/DS-020-Multi-User-Multi-Account-Trading-Controls-and-Delegated-Access.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-021,"Security Device Trust, Privacy and IP Protection",Skeleton,docs/codex/Volume-21-SecurityDeviceTrust/DS-021-Security-Device-Trust-Privacy-and-IP-Protection.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-022,"Product Experience, Website Design System and Feature Governance",Skeleton,docs/codex/Volume-22-ProductExperience/DS-022-Product-Experience-Website-Design-System-and-Feature-Governance.md,,,No,No,No,No,No,,No,,,,,Not Released
DS-023,"Reliability Operations, Data Governance and Recovery",Skeleton,docs/codex/Volume-23-Reliability/DS-023-Reliability-Operations-Data-Governance-and-Recovery.md,,,No,No,No,No,No,,No,,,,,Not Released
