requirement_id,title,status,related_adr,source_paths,test_paths,release_or_change,notes
DS-PRD-011,AI Output Validation,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-CHT-001,Price Charting,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-CHT-Charts.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-CHT-Charts.md
DS-CHT-002,Technical Indicators and Overlays,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-CHT-Charts.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-CHT-Charts.md
DS-DAT-001,Local Data Storage,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-DAT-Data-Management.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-DAT-Data-Management.md
DS-DAT-003,Symbol and Security Identity,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-DAT-Data-Management.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-DAT-Data-Management.md
DS-EXE-001,TradeValidationPipeline Is the Only Path to an Order,Committed / MVP,ADR-002,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-EXE-Execution-and-Broker.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-EXE-Execution-and-Broker.md
DS-EXE-007,Live Trading Gate,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-EXE-Execution-and-Broker.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-EXE-Execution-and-Broker.md
DS-INT-002,Credential-Based Integration Configuration,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-INT-Integrations.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-INT-Integrations.md
DS-MKT-001,Market Data Ingestion,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md
DS-MKT-002,Historical Market Data,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md
DS-MKT-003,Real-Time and Delayed Data Handling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md
DS-MKT-004,Data Freshness Thresholds,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md
DS-MKT-005,Market Calendars and Trading Sessions,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-MKT-Market-Data.md
DS-MOB-002,Mobile Cannot Run Core Trading Logic,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-MOB-Mobile-Client.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-MOB-Mobile-Client.md
DS-NFR-001,Startup Performance,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-NFR-Non-Functional.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-NFR-Non-Functional.md
DS-NFR-003,Reliability and Crash Resilience,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-NFR-Non-Functional.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-NFR-Non-Functional.md
DS-NFR-006,Testing Expectations,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-NFR-Non-Functional.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-NFR-Non-Functional.md
DS-OPS-001,Application Logging,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md
DS-OPS-002,Auditability of Risk and Sage Determinations,Committed / MVP,ADR-002,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md
DS-OPS-003,Understandable Error Handling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md
DS-OPS-004,Offline and Degraded Operation,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-OPS-Operations.md
DS-RSK-001,Risk Engine Independent Authority,Committed / MVP,ADR-002,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-RSK-Risk.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-RSK-Risk.md
DS-RSK-002,Deterministic Position and Risk Calculations,Committed / MVP,ADR-003,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-RSK-Risk.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-RSK-Risk.md
DS-SCN-001,Deterministic Pre-Filtering,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SCN-Scanner.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SCN-Scanner.md
DS-SCN-002,Scan Configuration and Execution,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SCN-Scanner.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SCN-Scanner.md
DS-SCN-003,Ranking and Scoring,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SCN-Scanner.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SCN-Scanner.md
DS-SEC-001,Credential and Secrets Handling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md
DS-SEC-002,Data Minimization,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md
DS-SEC-003,Justified External Service Use,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md
DS-SEC-004,No Unsupported Compliance Claims,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SEC-Security-and-Privacy.md
DS-SIG-001,Signal Representation,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SIG-Signal-System.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SIG-Signal-System.md
DS-SIG-002,Signal Grading,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SIG-Signal-System.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SIG-Signal-System.md
DS-SIG-003,Why-Trade / Why-Not-Trade Explanation,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-SIG-Signal-System.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-SIG-Signal-System.md
DS-WKS-001,Configurable Workspaces,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/requirements/DS-WKS-Workspace-Studio.md,Pending,Source: docs/codex/Volume-02-Product/requirements/DS-WKS-Workspace-Studio.md
DS-ARC-001,Client/Server Separation,Committed / MVP,ADR-001,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-002,Desktop Client,Committed / MVP,ADR-001,Pending — no implemented source path exists yet,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-004,Backend Service Architecture,Committed / MVP,,Pending — no implemented source path exists yet,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-005,Shared Models,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-006,Market Data Provider Abstraction,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-007,Single Shared Indicator Engine,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-008,Chart Adapter Abstraction,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-015,AI Provider Credential Handling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-016,Database Strategy,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-017,Caching Strategy,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-018,Staged Deployment Model,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-ARC-019,No Tight Coupling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,Pending,Source: docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md
DS-DB-001,Candle,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-002,Quote,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-004,Signal,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-014,SecurityIdentity,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-019,IntegrationCredential,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-020,AuditLogEntry,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-021,ScanConfiguration,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-023,Append-Only Audit and Transaction Tables,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-DB-024,Migration Discipline,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-05-Database/DS-005-Database-Design.md,Pending,Source: docs/codex/Volume-05-Database/DS-005-Database-Design.md
DS-API-COR-001,Backend-Authoritative REST API,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-06-API/DS-006-API-Specification.md,Pending,Source: docs/codex/Volume-06-API/DS-006-API-Specification.md
DS-API-COR-002,"Request/Response Envelope, Timestamps, and Data State",Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-06-API/DS-006-API-Specification.md,Pending,Source: docs/codex/Volume-06-API/DS-006-API-Specification.md
DS-API-COR-004,Authentication and Authorization,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-06-API/DS-006-API-Specification.md,Pending,Source: docs/codex/Volume-06-API/DS-006-API-Specification.md
DS-API-COR-006,Error Response Schema,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-06-API/DS-006-API-Specification.md,Pending,Source: docs/codex/Volume-06-API/DS-006-API-Specification.md
DS-API-COR-009,API-Level Auditability,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-06-API/DS-006-API-Specification.md,Pending,Source: docs/codex/Volume-06-API/DS-006-API-Specification.md
DS-API-COR-010,Session Lifecycle Contract,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-06-API/DS-006-API-Specification.md,Pending,Source: docs/codex/Volume-06-API/DS-006-API-Specification.md
DS-UX-001,Presentation Independence Enforcement,Committed / MVP,ADR-004,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-002,Workspace Studio Baseline Layout,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-010,Uncertainty and Confidence Labeling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-012,Data State and Provenance Indicators,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-013,Chart Presentation and Cross-Engine Consistency,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-015,Understandable Error and Empty States,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-016,Interface State Lifecycle,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-UX-018,Desktop-First Interaction Patterns,Committed / MVP,ADR-001,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,Pending,Source: docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md
DS-SCA-001,Threat Model Scope and Fail-Closed Default,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-002,Credential and Secrets Storage Architecture,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-003,AI Provider Credential Handling,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-004,Session Lifecycle Security Architecture,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-005,Authentication and Authorization Enforcement,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-006,Backend-Enforced Security Decisions,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-008,AI Output Validation Security Boundary,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-009,Input Validation and Injection Defense,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-010,Local Data and Database Security,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-011,Secure Communication and Network Exposure Defaults,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-015,Fail-Closed Trading Safety Behavior,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-020,Security Event Audit Logging,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-023,"Protected Assets, Threat Actors, and Trust Boundaries",Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-024,Material Threat Scenarios and Controls,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-025,Audit-Log Integrity and Protection Architecture,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-026,Security Incident Response Lifecycle,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-SCA-027,Audit-Log Integrity Verification Contract,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,Pending,Source: docs/codex/Volume-08-Security/DS-008-Security-Architecture.md
DS-QA-001,Requirement Test-Coverage Completeness Baseline,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md,Pending,Source: docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md
DS-QA-002,Integration Testing,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md,Pending,Source: docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md
DS-QA-003,API Contract Testing,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md,Pending,Source: docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md
DS-QA-004,Regression Testing and Determinism Suites,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md,Pending,Source: docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md
DS-QA-005,Deterministic Financial Calculation Test Requirements,Committed / MVP,ADR-003,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md,Pending,Source: docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md
